defined_class	defined_class_name	exact_syn	dbxref
PLANA:0000034	definitive epidermis	epidermal layer|epidermis|epithelium|mature epidermis|tegument	PMID:27163480|PMID:28976975|PMID:24120894|PMID:16311336|PMID:20511647|PMID:26711341|PMID:21282632|PMID:27240733|PMID:28292427|PMID:27612384|PMID:27074666|PMID:30962434|PMID:20215344|PMID:24950970|ISBN:9780070316607|PMID:22252539|PMID:23235145|PMID:30194301|PMID:23954785|PMID:25558068|PMID:22549959|PMID:29906446|PMID:29674432|PMID:18786419|PMID:28245923|PMID:19247960|PMID:27501047|PMID:15866156|PMID:28137894|PMID:29273738|PMID:27150006|PMID:28216315|PMID:21295483|PMID:25772472|PMID:24173799|PMID:19852954|PMID:26114597|PMID:28757112|PMID:27034770|PMID:19048075|PMID:29100657|PMID:20865784|PMID:26457503|PMID:30282036|PMID:28686611|PMID:29674431|PMID:21179478|PMID:24922054|PMID:20599901|PMID:23297191|PMID:29158443|PMID:26651295
PLANA:0000026	definitive gut	adult gut|blind gut|digestive tract|gastrovascular digestive tract|gastrovascular tract|gut|intestinal tract|intestine|three-branched gut|triclad gut	PMID:23235145|PMID:28072387|ISBN:9780070316607|PMID:28461239|PMID:27074666|PMID:21356107|PMID:19247960|PMID:29547123|PMID:20967238|PMID:21458439|PMID:29674432|PMID:23405188|PMID:30143032|PMID:25558068|PMID:30194301|PMID:27441386|PMID:17942485|PMID:25956527|PMID:18287199|PMID:27163480|PMID:27240733|PMID:28292427|PMID:27551436|PMID:18063757|PMID:30282036|PMID:25254346|PMID:19174194|PMID:20865784|PMID:24040508|PMID:25356635|PMID:29158443|PMID:23318641|PMID:27063937|PMID:24238224|PMID:30471994|PMID:24063805|PMID:27122174|PMID:25017721|PMID:27612382|PMID:30383829|PMID:27034770|PMID:26114597|PMID:21566195|PMID:27542689|PMID:21566185|PMID:27864883|PMID:26556349|PMID:24950970|PMID:30962434|PMID:24992682|PMID:23250205|PMID:27612384|PMID:27501047|PMID:28245923|PMID:19933103|PMID:23079596|PMID:30297872|PMID:29906446|PMID:23954785|PMID:23318635|PMID:28287248|PMID:24120894|PMID:22451003|https://doi.org/10.1101/279364|PMID:28807897|PMID:21282632|PMID:21179478|PMID:29674431|PMID:28686611|PMID:26457503|PMID:29100657|PMID:22411224|PMID:23903188|PMID:26651295|PMID:26062938|PMID:22439894|PMID:20707997|PMID:22899852|PMID:28216315|PMID:24415944|PMID:27150006|PMID:21828097|PMID:21806978|PMID:24737865|PMID:21664348|PMID:17553481|PMID:24173799
PLANA:0000049	digestive system	gastrointestinal system|gastrovascular system	PMID:27501047|PMID:19247960|PMID:23079596|PMID:19933103|PMID:25558068|PMID:20215344|PMID:24922054|PMID:26556349|ISBN:9780070316607|PMID:18063757|PMID:21356107|PMID:25254346|PMID:29357350|PMID:19048075|PMID:21806978|PMID:24737865|PMID:19766622|PMID:17390146|PMID:21664348|PMID:17553481|PMID:16311336|PMID:17905225|PMID:16344473|PMID:20707997|PMID:22451003|PMID:18287199|PMID:27068018|PMID:22479207|PMID:15866156|PMID:20040488
PLANA:0000053	distal tubule		PMID:21828097|PMID:27068018
PLANA:0000482	dopaminergic neuron		PMID:25356635|PMID:23250205|PMID:24950970|PMID:27864883|PMID:30194301|PMID:24173799|PMID:24173799|PMID:21458439|PMID:24131630|PMID:23903188
PLANA:0000216	egg capsule	capsule|cocoon	PMID:22074376|PMID:28072387|PMID:25278423|PMID:16344473|ISBN:9780070316607|PMID:27149082|PMID:17376870|PMID:20967238|PMID:28434803|https://doi.org/10.1101/279364|PMID:22371573|PMID:28812561
PLANA:0000238	elongate spermatid	elongating spermatid	PMID:29095551|PMID:27304889|PMID:20844018
PLANA:0000060	embryonic wall		PMID:28072387
PLANA:0007513	endoplasmic reticulum		PMID:30143032
PLANA:0000061	enteric musculature	enteric muscle|intestinal muscle	PMID:23079596|PMID:30471994|PMID:21664348|PMID:30962434|PMID:22411224
PLANA:0007545	epidermal compartment	epidermal region	PMID:27551436
PLANA:0000100	epithelial cell	epidermis cell	PMID:26114597|PMID:24737865|PMID:18202849|PMID:19048075|PMID:22479207|PMID:28461239|PMID:20865784|PMID:28072387
PLANA:0000062	esophagus	gut pharynx intersection	PMID:29674431|PMID:18063757|ISBN:9780070316607|PMID:20707997|PMID:27063937|PMID:21806978|PMID:30485821
PLANA:0000549	excitatory motor neuron	excitatory neuron	PMID:25356635
