?cls	?xref
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21566195"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:19766622"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:30237141"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:30383829"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:28171748"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:27654173"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:21747960"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:24238224"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:15972844"
<http://purl.obolibrary.org/obo/PLANA_0000036>	"PMID:30297872"
<http://purl.obolibrary.org/obo/PLANA_0000006>	"PMID:28072387"
<http://purl.obolibrary.org/obo/PLANA_0000124>	"UBERON:0002104"
<http://purl.obolibrary.org/obo/PLANA_0002067>	"GO:0005640"
<http://purl.obolibrary.org/obo/PLANA_0000405>	"PMID:28072387"
<http://purl.obolibrary.org/obo/PLANA_0000405>	"PMID:17553481"
<http://purl.obolibrary.org/obo/PLANA_0000405>	"PMID:21664348"
<http://purl.obolibrary.org/obo/PLANA_0000405>	"PMID:21828097"
<http://purl.obolibrary.org/obo/PLANA_0000405>	"UBERON:0006909"
<http://purl.obolibrary.org/obo/PLANA_0000411>	"PMID:21664348"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:21282632"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:25356635"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:17553481"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:22339734"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:16033796"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27800171"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:18202849"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:30962434"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:22445864"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:17905225"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:25493551"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:21664348"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27163480"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:28434803"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27240733"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:24173799"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:19247960"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:22385657"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:24367277"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27523733"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:22439894"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:20865784"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"https://doi.org/10.1101/279364"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:27864883"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:21458439"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:23903188"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:24950970"
<http://purl.obolibrary.org/obo/PLANA_0000103>	"PMID:21828097"
